Id,review,sentiment
26551,"A man kicks a dog 2' in the air.<br /><br />A woman kicks a cow out of her bed.<br /><br />A man kicks a violin down the sidewalk.<br /><br />A woman sucks on a statue's toe for 15 seconds.<br /><br />A man kicks a blind man in the stomach.<br /><br />Jesus rapes a young girl.<br /><br />There you have it. I just saved you an hour of your life. Surely there are those to whom this ""shocking vanguard of cinematic expression"" would appeal. But I found it no different from the puerile, disconnected videos I used to shoot with my friends in the 9th grade. Except we never had a real cow.<br /><br />Having heard endless sermons from beard-stroking art connaisseurs of how this is such an important film, I thought it would be worth my time. Make no mistake, this is crap. If I hear one more person call Buñuel the ""father of cinematic Surrealism"", I think I'm going to punch someone. If anything, he issued a major step backward from the Surrealist beginnings pioneered by his seniors Fritz Lang (Metropolis), F.W. Murnau (Faust) and Robert Weine (Caligari) 10 years earlier. This made a joke out of the whole thing, as if Buñuel didn't have the confidence to truly embrace the art sans sarcasm, sans l'absurdité. It would take Buñuel another 40 years before he would refine his style into something admirable. Skip the early stuff and hop straight to 1970 if you want to be more impressed by his work.<br /><br />I'm sure he would agree. In 1977, Buñuel himself stated that he would happily burn all the prints of his old movies. In this case I would be happy to pour the lighter fluid.",0
26552,"Prison is not often brought up during conversations about the best eighties horror films, and there's a good reason for that because it's not one of the best...but as you delve past the classic films that the decade had to offer, this is certainly among the best of the lesser known/smaller films. The film does have some connection to blockbusters; for a start it's an early directorial effort for Renny Harlin; the capable director behind a number of action films including Die Hard 2, Cliffhanger and Deep Blue Sea; and secondly we have an early role for Lord of the Rings star Viggo Mortensen. The film is not exactly original but the plot line is interesting. We focus on a prison that has been reopened after a number of years. This was the prison where a man named Charles Forsyth was sent to the electric chair after being framed by the prison's governor. Naturally, the spirit of the dead man is not resting in peace; and when the old execution room is reopened, the spirit of the dead convict escapes for vengeance.<br /><br />The film is not exactly The Shawshank Redemption, but it does take care to build up its various characters and while the main point of the film is always the horror, the prison drama behind it all does make for an interesting base. This is a good job too because other than the basic premise, the film doesn't really have a 'plot' to go from and we solely rely on the interaction between the characters to keep things interesting. The horror featured in the film is at times grotesque but it's never over the top, which might actually be the reason why this film is seldom remembered, being released in a decade of excess. The murders themselves are rather good and imaginative, however, and provide some major highlights. As the film goes on, we start to delve more into the back-story of the vengeful convict's ghost and while it's fairly interesting, some things about it don't make sense and it drags the film down a little. Still, everything boils down to an exciting climax and overall I have to say that Prison is a film well worth tracking down.",0
26553,"I have seen most of John Waters' films. With the exception of several of his very early ones which are not available, I have actually seen just about all of them, so it's obvious I am a big fan and it's certain that I have a high tolerance for the gross and irreverent in his films. While way over the top and disgusting, I adored FEMALE TROUBLE and POLYESTER--two monumental tributes to bad taste and excess that are seriously funny films. So I am certainly NOT squeamish and can take most of what Waters has to offer. However, in PINK FLAMINGOS he has created a film so repellent, so unfunny and so offensive that I couldn't even stand it. In his other films he made before he became more mainstream, they were funny. Yet here, the humor just isn't there as it seems the intent is to shock the viewers and not entertain them in any way. I am glad that after making this film, Waters' sense of humor improved, as Divine consuming dog feces (as in this film) is shocking but not the least bit entertaining. My advice is to skip this film and just pretend it never happened and then watch his infinitely better films of the 70s and 80s.",0
26554,"I thought this movie was absolutely hilarious. I already knew it was going to be a funny movie, but it was funnier than I expected. Sure there were some lame jokes, but they cracked me up. I thought the actors were going to turn out to be pretty bad, but the actors were good in acting out this comedy. I have to give kudos to Amanda Bynes, she looked surprisingly like her brother and pulled off an awesome performance as a boy. As for the other actors, they were funny as well. Of course there were moments where you yell at the screen ""how can you not tell?"", but that's all part of the fun. In the end the plot turned out pretty well. There's a happy ending, but what'd you expect. <br /><br />Overall,just hilarious.",1
26555,"I first viewed ""They Died With There Boots On"",about 1970 and though it has been many years since,this film and its impression remain.the cast was good to excellent and the lead man was truly heroic.When I first saw this film I knew the wisest as well as the only real position to have was to enjoy this film as a rousing bit of entertainment and then some.I felt then as I even feel now that the Silver Screen does not as such provide for a true depiction of much of anything let alone The Life of George Armstrong Custer,however the Director Raoul Walsh was to contribute to the real value represented in this film when I watched a semi-documentary with other great directors like Vincent Mennelli wherein these central figures talked about there accomplishments with valuable comments providing a glimpse into the Hollywood mind set.This is what I considered something of interest and where all of this became terribly interesting and very enjoyable.Yet, there have been so much made of all the problems with the silver screen and its story telling ability that some of the enjoyment has been lost and perhaps you would find that to be true here as well.Custer ranked 34 in a graduating class of...34.Much has been made of Custer's final class ranking,but of the 68 cadets who entered the Military Academy with him in 1857,half of them had already flunked out or quit by graduation day,June 24,1861.It is suggested in the movie as the various instructors are determining if a soldier is fit for command and then they come upon the name of George Armstrong Custer and there is to be certain an exchange between the two sides and here is where the Sargeant on Duty says in almost a low tone even to suggest as if that came out by accident""His squadron would follow him to hell,""Your at attention Sargeant,reprimands Tape.If Iam not mistaken when Flynn shows up at a initial battlefield it acknowledged that Custer did not see action right away and indeed he was doing work as a reliable attaché to not only Sheridan,but Hancocks forces as well only to end up for a time with the Army of The Potomac under General George McClellan.There is some truth to the audacity attributed to Custers battlefield heroics as was illustrated when in a counterattack ,""young Custer spurred his horse to the lead and boldly plunged in among the stunned Confederates.As a lone Union Soldier surrounded by rebels,Custers audacity shone through.He accepted the surrender of several enemy soldiers,including a rebel captain.Yet most outstanding was that in this action he personally captured the very first Confederate battle flag taken by the Army of the Potomac.This notable act of courage marked him as an officer of great battlefield promise.""Robert L.Bateman-Armchair General.There is a problem here and that is the telling of the story and the truth as to George Armstrong Custer,the story is good Hollywood entertainment perhaps even great entertainment but for whatever reasons all that could be told was changed for entertainment purposes.Though this maybe jumping the gun it might be well to know that Tom Custer was to lose his life at the ""Little Big Horn"" only a few feet from where George Custer was to die as well.They were brothers and Tom Custer to this very day holds a honorable distinction of being amongst a very small group perhaps only 3 others to have been awarded the Medal of Honor twice in his military career.The list of engagements that the motion picture shows indicate that Custers indeed was an active young officer.He was not with Union forces at either Chancellorsville or for that matter Fredericksburg however he was with them at the Battle of Antietam and at that point in time he was actually promoted to Captain by General McClellan but that was not to last as McClellan was soon to be replaced due to the historical fact that The Army of The Potomac had the means,and the information(discovered wrapped around some cigars was General Lee's plans to split his forces)and yet he failed to act for some 17 hours.It can be speculated that the war could of been over then and there had that occurred but when McClellan failed to act President Lincoln replaced him permanently and the promotion was lost as a result. Custers greatest victory may of in fact come at Gettysburg,Pa.His forces which occupied an area called cemetery ridge at the field at Gettysburg in the summer of 1863 were able to defeat a Jeb Stuart Led Cavalry of some 6,000 rebels with but a force of 2,300.I Think the heroics at Gettysburg by Custer are worth some discussion.There is speculation had in the movie that Custers appointment was a blunder, well you better guess again because not only did Custer have men in his corner but he established a petition to present to the Governor of the State of Michigan which by the way was relatively new to the Union Cause and where preparing to form Cavalry regiments.Though Custer was severely admonished for that kind of shenanigan when he showed up in all that Gold Braid it was not by accident as you would be led to believe.The truth be told Custers defense at Gettysburg prohibited Jeb Stuart from having lunch at the Unions rear stores and vitally protected that flank.This action by the way occurred and it was timed to coincide with Picketts Charge so to make for the greatest likelihood of success.It was a critical victory and Custer was at his bravest and best.His men did follow him to hell and lived to tell about it.",0
26556,"This movie is powerful. I watched this movie at 3:00 am and I was suppose to be at work at 6:00 am, needless to say I was late to work. I could not bring myself to get up off my bed to go to work. This is the most powerful movie that I have seen in a long time. And that made me cry and feel the pain of the family. I think Emilo did a wonderful job of directing this film. I agree with the previous comments from other views that this is the only movie that I have seen that has brought the war home and showed what a family had to go through, what a veteran went through. It is almost heart breaking to think that back then people just thought you could come home from a life changing experience and be the same person you were before you left. Kathy Bates reminded me of my mother in a way. I believe she really showed how women felt and acted back then. I am surprised that this film wasn't up for more awards.",1
26557,"This movie is simply awesome. It is so hilarious. Although the skating and other montages are played out, the comedy is awesome. Raab Himself and Brandon Dicamillo are hilarious. There will be moments when you can't breath you're laughing so hard. Plus, there are scenes that you can watch hundreds of times and still laugh. This is one of the funniest comedies I've ever seen.",0
26558,"When this was released, I thought this was one of the most profane films ever made. However, thanks to Martin Scorcese and a few other filmmakers like him, there have been mainline films worse, language-wise, than this....but this is a pretty brutal assault on one's ears. Hey, I can take a lot of it, but this got ridiculous. In the first six minutes alone, I heard a half-dozen usage's of the Lord's name in vain plus an untold number of f-words. I wonder how many people walked out of the theater watching this in 1990? I couldn't have been the only one.<br /><br />Not surprisingly, some of the feature actors included Jennifer Jason-Leigh, Burt Young, Jerry Orbach and Rikki Lake. Since this film, Stephen Lang seems to have improved his image, at least playing the Godly ""Stonewall"" Jackson in ""Gods and Generals."" Lang's role here is just the opposite: perhaps the worst trashy person in the film and a character who falls in love with a transvestite by the end of the film.<br /><br />Depressing, gloomy, semi-pornographic, repulsive: these are just a few of the adjectives people used - even some Liberal critics - in describing this story, which is painted even worse in the novel. Of course, some of the better-known critics, all extreme Libs, praised the movie. However, they were the only ones. Most critics were disgusted, as well almost all of the paying public. It's unbelievable that anyone could praise filth and garbage like this.<br /><br />Trust me on this: there are no good, likable characters in this entire movie. This is a mean, sick film: one of the worst of the ""modern era."" That is, unless you enjoy seeing child abuse, drug abuse, teen prostitutes, on and on - two straight hours of nothing but atrocities and just plain evil people. No thanks.",0
26559,"""Proximity"" tells of a convict (Lowe) who thinks the prison staff is out to kill him. This very ordinary film is an action/drama with a weak plot; stereotypical, poorly developed characters; and a one dimensional performance by Lowe. A forgettable film not worthy of further commentary.",0
26560,"Alex D. Linz replaces Macaulay Culkin as the central figure in the third movie in the Home Alone empire. Four industrial spies acquire a missile guidance system computer chip and smuggle it through an airport inside a remote controlled toy car. Because of baggage confusion, grouchy Mrs. Hess (Marian Seldes) gets the car. She gives it to her neighbor, Alex (Linz), just before the spies turn up. The spies rent a house in order to burglarize each house in the neighborhood until they locate the car. Home alone with the chicken pox, Alex calls 911 each time he spots a theft in progress, but the spies always manage to elude the police while Alex is accused of making prank calls. The spies finally turn their attentions toward Alex, unaware that he has rigged devices to cleverly booby-trap his entire house. Home Alone 3 wasn't horrible, but probably shouldn't have been made, you can't just replace Macauley Culkin, Joe Pesci, or Daniel Stern. Home Alone 3 had some funny parts, but I don't like when characters are changed in a movie series, view at own risk.",0
26561,"It's not too bad a b movie, with Sanders, Barrie, Hale, Cowen, Hamilton, Gargan, Fitzgerald and even Willie Best we could be either with Charlie Chan, Moto, the Falcon, Blackie, Holmes or the Saint etc. In other words you get the chance to spend another hour in the company of some old friends, from plain to urbane, murdering and being murdered - always a pleasure in my book.<br /><br />Barrie's a hard-boiled dame out to avenge and clear her framed and dead father, a police detective by planning and carrying out with her coterie a string of underworld assassinations. Which would surely have had the opposite effect! Sanders joins in the fun simply by dancing in the right club in the right place in the right city at the right time with the right lighting falling on both him and the first killer (at the right time!) and killing him.<br /><br />The story and acting's OK, the only gripe I've got is near the end with the hurried and almost laughable discovery of who the evil genius (Waldeman) was - did they almost forget about his relevance in the plot? That said, a solid entry in the series.",0
26562,"I've always been a great fan of Woody Allen and always will be for most of what he did in the past, but only a blind lover could ignore how dull, meaningless, pretentious and most of all horrendously acted this movie is. A vacuous mental masturbation based on inconsistent grounds. And what a disastrous idea to artificially recreate a presumed ""actor Allen-clone"", that is putting into Will Farrell's mouth and gestures what Allen would have done in Farrell's place had he been 30 years younger. The outcome was obviously ludicrous. And not to speak of the dialogues... what was intended to be philosophical reflections turned into an involuntary mockery of intellectual pondering, unaware of its comic effect. How sad...",0
26563,This is a great film with an amazing cast. Crispen Glover is at his freakiest . His guitar solo is amazing. Also watch out for a cameo by William Burroughs. Truly a cult classic. This is on my top ten list. Don't miss this twisted film.,1
26564,"I must give credit to Billy Dee for trying to pull this off. Knowing this was a blaxploitation film, I started my DVD with a certain expectation. I knew it would be low budget... the acting sub-par... but hoped for a few gems to be sprinkled throughout. If there were any diamonds or gems sprinkled within this film, they were successfully buried under tons and tons of coal... or perhaps overacting. As an actor and filmmaker, I cringed often when potential poignant moments were ruined with atrocious performances. Yet, I must admit, I could not look away. I don't know if this was like a car wreck you can't turn your eyes from, or some mysterious power in the film that kept me there. This film is a good case for an excellent story that was told wrong. If Walter Kronkite were to tell ""the Aristocrats"" joke, it would be a total flop, although the joke itself is hilarious. Let Dave Chappelle tell it, and we are all rolling on the floor laughing. This film needed a ""Chapelle."" Now, with that said, if you have the opportunity to purchase this film for the dollar that I did, do it. It is well worth the money. Perhaps I will take another dollar, purchase the rights to this film, and remake it. Who knows... it might not be any better, but it surely can't be any worse.",0
26565,"Engaging, riveting tale of captured US army turncoat who has to prove his innocence to avoid the hangman. Paul Ryker dodges friendly fire in a seemingly doomed attempt to convince a military court that he was actually a US spy on a secret mission in Korea.<br /><br />In the vein of classic courtroom dramas, ""Sergeant Ryker"" is an extremely well crafted mystery, ably guided by an outstanding cast, director Kulik's constant momentum, and effective plot twists and turns.<br /><br />This film was originally made as a television movie in 1964, and subsequently beefed up for this revision with the presence of many ""name"" actors, and some action sequences. Dillman, reprising his role, is spot-on as the doubting defence attorney, whose attentions sometimes stray to the personal plight of Ryker's supportive, yet somewhat distant wife, played with aplomb by Vera Miles. Rounding out the frontline is Peter Graves for the prosecution, and Norman Fell and Murray Hamilton in key supporting roles.<br /><br />Marvin's interpretation of the Paul Ryker character is a balanced depiction of a simple but dedicated man whose normally laid back demeanour is challenged by the desperate circumstances in which he's placed. Marvin switches perfectly from resigned indifference, to passionate determination, giving a convincing, often intense performance that is the highlight of this otherwise small-scale drama. It's this performance that should elevate the film to a platform where it occupies a place on the best-ever lists of courtroom dramas.<br /><br />However, despite its apparent obscurity, ""Sergeant Ryker"" still remains a taut and compelling examination, like a book that you just can't put down. Highly recommended.",1
26566,"While browsing the internet for previous sale prices, I ran across these comments. Why are they all so serious? It's just a movie and it's not pornographic. I acquired this short film from my parents 30 years ago and have always been totally delighted with it. I've shown it to many of my friends & they all loved it too. I feel privileged to own this original 1932 8mm black and white silent film of Shirley before she became popular or well known. After reading the other comments, I agree that the film is ""racy"". Big deal! I only wish it was longer. It seems that I must be the only person who owns one of these originals, for sale at least, so I wonder how much it's worth?",1
26567,"Luchino Visconti has become famous to the world after his marvelous production THE LEOPARD. Movie fans got to know the style of the director who introduced himself as one among the post war new realists, an aristocrat who developed his individual free thinking and, consequently, expressed them as an artist. However, when applied to this movie, MORTE A VENEZIA based upon the novel by Thomas Mann, it's a slightly different story.<br /><br />The entire film is, at first view, so unique, so psychological and so much influenced by the various thoughts of an artist (both director and main character Gustav von Aschenbach) that it seems to be ""unwatchable"" for many viewers. Therefore, such opinions about the movie rose as being ""too slow"", ""unendurable"" or ""endless boredom"". Why? The reason seems to lie in a significant view widespread nowadays: ""GOOD MOVIE IS PARALLEL TO FLAWLESS ACTION."" Here, it would be appropriate to say: ""GOOD MOVIE IS PARALLEL TO NO ACTION."" As a matter of fact, everyone would be able to say one sentence about the whole movie's content and that would suffice. All that we find in MORTE A VENEZIA has a sense of vague reality filled with both profoundity and shallowness that appear to be significant for the sake of each single moment. And it is so when we notice the psychedelic scenes in Venice, when we see Gustav at the railroad station, when we are supplied with his intensely emotional memories. The insight into his decaying mind is sometimes so intense that the only way for the viewer to go on watching the film is to do his/her best to feel and experience rather than see and think. All is doomed to fade, to wither like flowers on meadow when their time comes. In other words, all has a sense of loss and death without many events or even dialogs. As a result, it is quite unlikely that you will get the idea of the movie after a single viewing. It must be seen more than twice with the mind that is constantly open. If you'll like it or not...that's a different story, very personal one.<br /><br />The artistic values are the factor that is noticeable at first sight and stays with us throughout. Beauty as something very meaningful for the main character that appears to come and leave; rest as something he's heading for so badly and which comes to him in the most unexpected way; feeling that he finds in a teenage boy who appears as a model of all the dreams and desires, as a forbidden fruit of homosexual lust which vanishes. The costume designer Piero Tosi does a splendid job in this movie. Through lots of wonderful wardrobe he supplies us with a very realistic view of 1911 when the action takes place. The cinematographer Pasqualino De Santis provides us with a terrific visual experience that can be called a real feast for the eyes. And in the background comes Gustav Mahler's music, the composer whose life inspired Thomas Mann to introduce the character. <br /><br />The performances are top notch, particularly from Dirk Bogart as the main character, Gustav von Aschenbach, who wants a rest after hard artistic job and vainly attempts to find it in crowded Venice. For the majority of the film, we have a great insight into his thoughts, feelings and acts of anger, exhaust and despair. Though sometimes depressing, he keeps us on the right track till the end not losing hope for the less tragic end... Tadzio (Bjorn Andersen) depicts the model of decadent homosexual desire but also a model of beauty and purity that appears to last pretty short... ""Adieu Tadzio, it was all too short"" says the main character. A great, though very controversial, job is done by Mark Burns as a sort of ""super ego"" Alfred with whom Gustav polemics about such ideals as beauty, justice, hope, human dignity. For Alfred, beauty belongs to the senses. How Freudian, yet how dangerous the idea might be! And ever present in artistic Italian movies of the time, Silvana Mangano - here as an elegant lady from Poland, Tadzio's mother.<br /><br />Memorable moments indeed constitute the movie's strong points; yet, not all viewers will find them unforgettable. They, similarly to the whole odd movie, require much effort to get onto the right track in director's individual ego and within the four walls of his psyche. Among such scenes, I consider the beach sequence pretty important, particularly the way Gustav observes Tadzio. The physical distance accurately represents the lack of courage to come closer... I also appreciate the shots when Gustav is sitting in the gondola and the city's view moves in the background - how memorably that may raise existential thoughts of transfer. Aren't we, people, a sort of ""passangers"" in the world, in the journey that life is.<br /><br />In the end, I must tell you one important thing. I had found MORTE A VENEZIA extremely weird until I started to look deeper at what the director is really trying to convey. Then, every scene turned out to be meaningful in its interpretation with which you don't have to agree (I hardly agree with anything the main character does) but you should at least tolerate this as something the author badly wanted to say. Listen to his voice, allow him for a few words in one page of reality...<br /><br />Therefore, there is a long way towards understanding the film since not many movies like that were being made in 1971 and are being made now. Paradoxically, it seems that we are all bound to have the right feelings about this film in the long run similarly to that we are all bound to experience once a strange, unavoidable, usually unexpected reality that death is... 7/10",0
26568,"Glacier Fox is one of the most heartrending and wonderfully photographed wildlife films ever made.<br /><br />The film makes you care about each member of this fox family, from the blind cub to the strongest - their adventures are at times hilarious and also tragic. Set against an inhospitable countryside, the audience's hearts warm to the family members.<br /><br />The music score and lyrics tell the story intercut with narration about what is happening in general terms.<br /><br />Man remains one of the biggest predators, but we are left in no doubt that the foxes are capable of living, not just surviving beyond human endeavours.",0
26569,"Another popular screening for a British picture at Coalville's Century Theatre. A well crafted, solid drama with an ever developing plot and ongoing 'twists in the tale'...as the lies piled up! A masterclass of acting by a flawless cast, well marshaled by first time director Julian Fellowes. Outstanding performance, as usual, by Tom Wilkinson but good turns by all concerned including supporting actors Linda Bassett and John Neville. Our audience was engrossed by this film, which includes a couple of shock incidents which really make you 'jump'. A good tight production at around only 80 minutes, probably produced on a very limited budget, but a success, which should see Fellowes directing again for the big screen. Some publicity for the film seemed to suggest it was set in the 50s (as per Nigel Balchin's novel)but obviously this is not the case. Recommended viewing.",0
